Importo;Importo Scontato;Imponibile;Imposta;Iva %;Sconto %;Valore sconto;TipoDocumento;Numero Doc o rif;
Ticket;Bancomat;Credito;Assegni;CartaC;Contanti;;P;;;
160,65;150;136,363636363636;13,64;10;6,63;10,65;DC;;;
50;50;45,4545454545455;4,545;10;0;0;DC;;;
10;4;2;4;56;200;;P;;;
160,65;150;122,950819672131;27,05;22;6,63;10,65;ADC;6_1;;
50;50;48,0769230769231;1,92;4;0;0;ADC;05/01/2017;;
47;42,3;0;0;EE;10;4,7;DC;;;
47,78;40,61;0;0;AL;15;7,17;DC;;;
10;4;2;4;56;200;;P;;;
34,67;31,2;0;0;ES;10;3,47;DC;;;
65,89;56,01;50,9181818181818;5,09;10;15;9,88;DC;;;
10;4;2;4;56;200;;P;;;
55;49,5;0;0;NS;10;5,5;DC;;;
160;136;0;0;EE;15;24;DC;;;
10;4;2;4;56;200;;P;;;
47;42,3;0;0;EE;10;4,7;RDC;6_3;;
47,78;40,61;0;0;AL;15;7,17;RDC;05/01/2017;;
150,55;131,086522301228;119,169565728389;11,92;10;0;19,4634776987718;DC;;;
81,5;70,9634776987718;58,1667849989933;12,8;22;0;10,5365223012282;DC;;;
10;4;2;4;56;200;;P;;;
0,05;0,05;4,54545454545455E-02;0;10;0;0;DC;;;
71,51;64,36;61,8846153846154;2,48;4;10;7,15;DC;;;
10;4;2;4;44;200;;P;;;
0,05;0,05;4,54545454545455E-02;0;10;0;0;DC;;;
47,45;42,7;0;0;EE;10;4,75;DC;;;
10;4;2;4;22;200;;P;;;
0,05;0,05;4,54545454545455E-02;0;10;0;0;DC;;;
5,55;5,55;4,54918032786885;1;22;0;0;DC;;;
1;1;1;1;2;200;;P;;;
0,05;0,05;4,54545454545455E-02;0;10;0;0;DC;;;
1,5;1,5;0;0;EE;0;0;DC;;;
0,1;0,3;0,3;1;0,5;200;;P;;;
0,05;0,05;0;0;EE;0;0;DC;;;
1,5;1,5;0;0;EE;0;0;DC;;;
0,05;0,05;4,54545454545455E-02;0;10;0;0;DC;;;
1,5;1,5;1,22950819672131;0,27;22;0;0;DC;;;
-1,5;-1,5;-1,22950819672131;-0,27;22;0;0;DC;;;
15;15;13,6363636363636;1,36;10;0;0;DC;;;
1,5;1,5;1,22950819672131;0,27;22;0;0;DC;;;
-1,5;-1,5;-1,22950819672131;-0,27;22;0;0;DC;;;
-15;-15;-13,6363636363636;-1,36;10;0;0;DC;;
